Tanggal Saham,Nilai Sentimen Saham,Sentimen Saham,Tanggal Berita,Nilai Sentimen Berita,Sentimen Berita
2021-12-23,-2.4150943396226414,netral,2021-12-16,0.0,netral
2021-12-24,-2.0,netral,2021-12-17,0.0,netral
2021-12-27,-4.007434944237892,netral,2021-12-20,0.4,netral
2021-12-28,1.985185185185178,netral,2021-12-21,1.0,positif
2021-12-29,-2.66666666666668,netral,2021-12-22,1.0,positif
2021-12-30,-0.029739776951724924,netral,2021-12-23,1.0,positif
2022-01-03,-2.656790123456783,netral,2021-12-27,0.6,positif
2022-01-04,22.000000000000597,positif,2021-12-28,0.0,netral
2022-01-05,0.8825622775800578,netral,2021-12-29,0.0,netral
2022-01-06,-2.0,netral,2021-12-30,0.0,netral
2022-01-07,7.676258992806073,positif,2021-12-31,0.2,netral
2022-01-10,-0.09187279151939523,netral,2022-01-03,0.2,netral
2022-01-11,-2.158983451536641,netral,2022-01-04,0.2,netral
2022-01-12,-2.6666666666666874,netral,2022-01-05,0.6000000000000001,positif
2022-01-13,-2.0,netral,2022-01-06,0.6000000000000001,positif
2022-01-14,-0.8128113879003547,netral,2022-01-07,0.4,netral
2022-01-17,-9.971830985915426,negatif,2022-01-10,0.4,netral
2022-01-18,7.791666666666834,positif,2022-01-11,0.4,netral
2022-01-19,-0.014134275618416008,netral,2022-01-12,0.0,netral
2022-01-20,-5.9718309859155445,netral,2022-01-13,0.0,netral
2022-01-21,-1.3449883449883406,netral,2022-01-14,-0.0568181818181818,netral
2022-01-24,-3.4843205574912948,netral,2022-01-17,0.37651515151515136,netral
2022-01-25,2.8676056338028095,netral,2022-01-18,0.37651515151515136,netral
2022-01-26,25.05147058823513,positif,2022-01-19,0.8098484848484846,positif
2022-01-27,0.9894736842105396,netral,2022-01-20,0.8098484848484846,positif
2022-01-28,21.833333333333048,positif,2022-01-21,0.8666666666666664,positif
2022-01-31,2.4644444444444304,netral,2022-01-24,0.4333333333333332,netral
2022-02-02,-2.323094425483508,netral,2022-01-26,0.0,netral
2022-02-03,-2.4255541069100364,netral,2022-01-27,0.0,netral
2022-02-04,-1.3493150684931712,netral,2022-01-28,0.0,netral
2022-02-07,-1.6723549488054565,netral,2022-01-31,0.8666666666666666,positif
2022-02-08,-3.452784503631958,netral,2022-02-01,0.8666666666666666,positif
2022-02-09,0.929999999999959,netral,2022-02-02,0.9041666666666666,positif
2022-02-10,-4.596259625962596,netral,2022-02-03,1.3041666666666667,positif
2022-02-11,-0.09771986970678548,netral,2022-02-04,1.3041666666666667,positif
2022-02-14,-2.0,netral,2022-02-07,0.6375,positif
2022-02-15,1.4480519480519616,netral,2022-02-08,0.6375,positif
2022-02-16,-1.3690851735015819,netral,2022-02-09,0.8,positif
2022-02-17,-2.9528301886792496,netral,2022-02-10,0.4,netral
2022-02-18,3.8291139240506613,netral,2022-02-11,1.0,positif
2022-02-21,-2.0,netral,2022-02-14,0.8,positif
2022-02-22,-3.2995780590717274,netral,2022-02-15,0.8,positif
2022-02-23,12.316129032258084,positif,2022-02-16,0.6,positif
2022-02-24,2.01261829652998,netral,2022-02-17,0.6499999999999998,positif
2022-02-25,2.711395101171425,netral,2022-02-18,0.5499999999999998,positif
2022-03-01,-0.006250000000005682,netral,2022-02-22,0.5499999999999998,positif
2022-03-02,-0.006309148264983895,netral,2022-02-23,0.8833333333333331,positif
2022-03-04,-0.5760220486908467,netral,2022-02-25,0.2083333333333332,netral
2022-03-07,1.5110759493670807,netral,2022-02-28,0.2083333333333332,netral
2022-03-08,-3.4470642625982486,netral,2022-03-01,0.2083333333333332,netral
2022-03-09,-6.912280701754372,negatif,2022-03-02,-0.125,netral
2022-03-10,-2.0,netral,2022-03-03,0.0,netral
2022-03-11,0.7999999999999889,netral,2022-03-04,0.0,netral
2022-03-14,-3.7035040431266837,netral,2022-03-07,0.6,positif
2022-03-15,-1.6185185185185176,netral,2022-03-08,0.6,positif
2022-03-16,0.957983193277308,netral,2022-03-09,0.6,positif
2022-03-17,-2.0,netral,2022-03-10,0.6,positif
2022-03-18,-1.1897524967433755,netral,2022-03-11,0.49777777777777776,netral
2022-03-21,-4.8734939759036155,netral,2022-03-14,-0.1022222222222222,netral
2022-03-22,2.012383900928749,netral,2022-03-15,0.0644444444444444,netral
2022-03-23,-1.6340979892381755,netral,2022-03-16,0.0644444444444444,netral
2022-03-24,-4.481733746130038,netral,2022-03-17,0.0644444444444444,netral
2022-03-25,-2.0,netral,2022-03-18,0.1666666666666666,netral
2022-03-28,-4.466734211415065,netral,2022-03-21,0.1666666666666666,netral
2022-03-29,2.7500000000000133,netral,2022-03-22,0.0,netral
2022-03-30,-1.0417910447761451,netral,2022-03-23,0.0,netral
2022-03-31,-3.9226190476190537,netral,2022-03-24,0.0,netral
2022-04-01,-2.0,netral,2022-03-25,0.0,netral
2022-04-04,-0.3586474501108715,netral,2022-03-28,0.0,netral
2022-04-05,-1.1928783382789312,netral,2022-03-29,0.0,netral
2022-04-06,-20.000000000000522,negatif,2022-03-30,-0.1,netral
2022-04-07,-4.0613496932515165,netral,2022-03-31,-0.1,netral
2022-04-08,-6.969879518072245,negatif,2022-04-01,-0.1,netral
2022-04-11,-2.216287504121332,netral,2022-04-04,-0.1,netral
2022-04-12,-3.00297619047619,netral,2022-04-05,0.4,netral
2022-04-13,-2.220903395977579,netral,2022-04-06,0.5,netral
2022-04-14,-2.642998027613419,netral,2022-04-07,0.9666666666666666,positif
2022-04-18,-1.6047619047619053,netral,2022-04-11,1.5666666666666664,positif
2022-04-19,-0.0,netral,2022-04-12,1.0666666666666667,positif
2022-04-20,44.00000000000015,positif,2022-04-13,1.0666666666666667,positif
2022-04-21,28.038997214484763,positif,2022-04-14,0.6,positif
2022-04-22,-1.098666666666658,netral,2022-04-15,0.7805555555555554,positif
2022-04-25,8.780748663101686,positif,2022-04-18,0.1805555555555554,netral
