Tanggal Saham,Nilai Sentimen Saham,Sentimen Saham
2021-12-20,1.2777777777778039,netral
2021-12-21,-2.0,netral
2021-12-22,-2.0,netral
2021-12-23,-0.006825938566531215,netral
2021-12-24,-2.0,netral
2021-12-27,-2.8219178082191787,netral
2021-12-28,-2.0,netral
2021-12-29,0.0068027210884363766,netral
2021-12-30,-2.0,netral
2022-01-03,-2.0,netral
2022-01-04,0.9897610921501383,netral
2022-01-05,-2.0,netral
2022-01-06,-2.9865771812080677,netral
2022-01-07,-2.0,netral
2022-01-10,-5.816993464052382,netral
2022-01-11,0.570175438596495,netral
2022-01-12,-2.0,netral
2022-01-13,-2.0,netral
2022-01-14,-0.33580705009276746,netral
2022-01-17,1.8980891719745352,netral
2022-01-18,-3.470967741935487,netral
2022-01-19,-2.0,netral
2022-01-20,-2.0,netral
2022-01-21,0.31082529474812987,netral
2022-01-24,0.9622641509433962,netral
2022-01-25,-1.337606837606838,netral
2022-01-26,-2.0,netral
2022-01-27,-0.006493506493523757,netral
2022-01-28,-2.284798534798534,netral
2022-01-31,0.04501607717042156,netral
2022-02-02,-16.321311475409846,negatif
2022-02-03,-0.006410256410266517,netral
2022-02-04,-2.0,netral
2022-02-07,-8.058252427184485,netral
2022-02-08,-1.0032051282051333,netral
2022-02-09,0.538141470180311,netral
2022-02-10,3.2327044025157408,netral
2022-02-11,-2.0,netral
2022-02-14,-5.290734824281149,netral
2022-02-15,-6.72727272727274,netral
2022-02-16,-1.1280423280423308,netral
2022-02-17,-1.2523510971786793,netral
2022-02-18,-1.3459915611814366,netral
2022-02-21,-2.3949526813880104,netral
2022-02-22,-2.5534591194968557,netral
2022-02-23,0.9905063291139506,netral
2022-02-24,-0.6790890269151183,netral
2022-02-25,1.950000000000035,netral
2022-03-01,-2.0,netral
2022-03-02,0.962732919254647,netral
2022-03-04,-2.9905956112852663,netral
2022-03-07,6.151898734177207,netral
2022-03-08,-4.0779220779220315,netral
2022-03-09,-2.0,netral
2022-03-10,-4.050955414012771,netral
2022-03-11,-2.6708727655099818,netral
2022-03-14,-3.2421383647798816,netral
2022-03-15,-4.86068111455114,netral
2022-03-16,-1.5306748466257678,netral
2022-03-17,-7.105691056910516,netral
2022-03-18,-9.92500000000002,negatif
2022-03-21,-2.0,netral
2022-03-22,-1.318565400843886,netral
2022-03-23,-3.0283911671924284,netral
2022-03-24,-2.259493670886077,netral
2022-03-25,-2.504731861198737,netral
2022-03-28,-2.0,netral
2022-03-29,-6.0,netral
2022-03-30,-4.0191082802548594,netral
2022-03-31,6.025396825396754,netral
2022-04-01,-5.974921630094089,netral
2022-04-04,-0.9968454258675139,netral
2022-04-05,-2.0,netral
2022-04-06,-13.924050632910973,negatif
2022-04-07,-2.0,netral
2022-04-08,-6.116129032258054,netral
2022-04-11,8.095541401273946,positif
2022-04-12,-2.0,netral
2022-04-13,-2.0,netral
2022-04-14,-2.0,netral
2022-04-18,-2.0,netral
2022-04-19,-0.7766233766233794,netral
2022-04-20,-1.3245901639344344,netral
2022-04-21,-2.0,netral
2022-04-22,-1.0157728706624631,netral
2022-04-25,-2.0,netral
2022-04-26,-5.208333333333341,netral
2022-04-27,3.630769230769254,netral
2022-04-28,-2.508869179600886,netral
2022-05-09,18.483076923077054,positif
2022-05-10,-3.2434210526315765,netral
2022-05-11,0.12624584717607945,netral
2022-05-12,-12.620915032679838,negatif
2022-05-13,-3.502863688430692,netral
2022-05-17,-2.3169185763042397,netral
2022-05-18,-6.7927927927928256,netral
2022-05-19,-3.9867986798679844,netral
2022-05-20,-1.726174496644296,netral
2022-05-23,-2.9831081081081177,netral
2022-05-24,-2.662146892655361,netral
2022-05-25,-1.712342079689028,netral
2022-05-27,-5.286779661016956,netral
2022-05-30,-2.0,netral
2022-05-31,-15.67656765676556,negatif
2022-06-02,11.322580645161501,positif
2022-06-03,-0.059405940594040016,netral
2022-06-06,-3.4555921052631575,netral
2022-06-07,-2.0,netral
2022-06-08,0.6411622276029085,netral
2022-06-09,-0.83458646616541,netral
2022-06-10,-14.120000000000271,negatif
2022-06-13,-2.0,netral
2022-06-14,-3.3514739229024904,netral
2022-06-15,-2.664414414414412,netral
2022-06-16,-7.1877133105801985,netral
2022-06-17,-1.00990099009901,netral
2022-06-20,-2.0,netral
2022-06-21,-1.036065573770505,netral
2022-06-22,1.8692810457516604,netral
2022-06-23,-1.8046666666666624,netral
2022-06-24,-0.6578073089700921,netral
2022-06-27,-4.006688963210708,netral
2022-06-28,-6.149659863945635,netral
2022-06-29,-1.6506849315068486,netral
2022-06-30,-4.0618556701030375,netral
2022-07-01,-2.0,netral
2022-07-04,1.2993103448275949,netral
2022-07-05,-10.340425531914896,negatif
2022-07-06,-6.027586206896544,netral
2022-07-07,13.945205479452111,positif
2022-07-08,-2.0,netral
2022-07-11,-1.7465034965034936,netral
2022-07-12,-1.505263157894736,netral
2022-07-13,-9.07317073170731,negatif
2022-07-14,-2.260714285714285,netral
2022-07-15,-3.010676156583628,netral
2022-07-18,-14.257142857142645,negatif
2022-07-19,-1.0034965034964929,netral
2022-07-20,-4.571428571428566,netral
2022-07-21,-2.0,netral
2022-07-22,3.695945945945937,netral
2022-07-25,-2.3185437997724745,netral
2022-07-26,-2.0,netral
2022-07-27,-1.7815829528158356,netral
2022-07-28,-2.0,netral
2022-07-29,-2.0,netral
2022-08-01,-13.959183673469223,negatif
2022-08-02,-2.0,netral
2022-08-03,-0.07894736842094344,netral
2022-08-04,11.449180327868616,positif
2022-08-05,-2.0,netral
2022-08-08,-2.0,netral
2022-08-09,-1.5238095238095286,netral
2022-08-10,-2.0,netral
2022-08-11,-1.4484629294755833,netral
2022-08-12,-2.6540880503144675,netral
2022-08-15,-2.0,netral
2022-08-16,-0.018867924528225343,netral
2022-08-18,-2.0,netral
2022-08-19,-5.949999999999965,netral
2022-08-22,-10.05063291139245,negatif
2022-08-23,-9.92500000000002,negatif
2022-08-24,2.0253164556960828,netral
2022-08-25,8.031446540880875,positif
2022-08-26,-0.5139318885448869,netral
2022-08-29,0.9624999999999913,netral
2022-08-30,-2.490797546012269,netral
2022-08-31,-1.0336391437309211,netral
2022-09-01,-2.7756097560975563,netral
2022-09-02,-3.9815950920245293,netral
2022-09-05,-1.35157041540021,netral
2022-09-06,-2.0,netral
2022-09-07,5.903323262840052,netral
2022-09-08,-1.0208955223880505,netral
