tanggal,sentimenweekly
2022-03-31,-1.9613095238095268
2022-04-01,-1.0
2022-04-04,-0.17932372505543576
2022-04-05,-0.5964391691394656
2022-04-06,-10.000000000000261
2022-04-07,-2.0306748466257583
2022-04-08,-3.4849397590361226
2022-04-11,-1.108143752060666
2022-04-12,-1.501488095238095
2022-04-13,-1.1104516979887895
2022-04-14,-1.3214990138067095
2022-04-18,-0.8023809523809526
2022-04-19,-0.0
2022-04-20,22.000000000000075
2022-04-21,14.019498607242381
2022-04-22,-0.549333333333329
2022-04-25,4.390374331550843
2022-04-26,-4.547368421052653
2022-04-27,-1.2282608695652175
2022-04-28,-1.5342261904761911
2022-05-09,15.260162601625781
2022-05-10,-0.47025495750708185
2022-05-11,-2.334269662921342
2022-05-12,3.1937321937321954
2022-05-13,-1.2560975609756098
